layer,method,smoothing,res,pointing_hit_rate,hits,n,mean_iou@0.5,mean_iou@0.3,mean_box_coverage,mean_cam_mass_in_box,mean_cam_area_frac
block4,xgradcam,eigen,224,0.20754716981132076,11,53,0.11647674117142469,0.12207842676743906,0.3007102936462324,0.14572555973956997,0.12040577294691554
block4,xgradcam,eigen,320,0.3018867924528302,16,53,0.148158113562507,0.15474313447967916,0.31334838501338164,0.18925958711799024,0.0840674526286575
block4,xgradcam,both,224,0.2830188679245283,15,53,0.1927891099168579,0.15183081492929584,0.5834538135603431,0.142662040734014,0.22512880361305093
block4,xgradcam,both,320,0.37735849056603776,20,53,0.17402285688821176,0.16556985855818812,0.43477468624556126,0.147201790048454,0.151944304412266
block3,gradcam,none,224,0.39622641509433965,21,53,0.17831529780609415,0.19789662164950364,0.3051935461594604,0.2520973063713777,0.05462104869338701
block3,gradcam,none,320,0.41509433962264153,22,53,0.126158633935167,0.14079401677698067,0.22084741792250054,0.22183920009638003,0.045001983642578125
block3,gradcam,aug,224,0.5283018867924528,28,53,0.18802711466219635,0.2036350205060034,0.32924159788674484,0.2495272150513979,0.05627250671386719
block3,gradcam,aug,320,0.41509433962264153,22,53,0.13469322023831634,0.14854511340756332,0.23530184502723886,0.2218392123753775,0.045000148269365416
block3,gradcam,eigen,224,0.09433962264150944,5,53,0.04801940220251407,0.05268627522362144,0.12786222408109568,0.05931404243828957,0.04792528332404371
block3,gradcam,eigen,320,0.05660377358490566,3,53,0.024538679763664747,0.02248321272118401,0.07195146770326309,0.03886888494047699,0.02589157392393868
block3,gradcam,both,224,0.03773584905660377,2,53,0.01761046093825536,0.023001401673981518,0.0998926386704861,0.033245041039872296,0.06365000526860075
block3,gradcam,both,320,0.03773584905660377,2,53,0.023437833673214576,0.027769089514222287,0.08012788989878449,0.03786656145466396,0.03606623523640183
block3,gradcam++,none,224,0.07547169811320754,4,53,0.021468442467170296,0.04573226471711424,0.03119079262432663,0.1771997317774003,0.01225374329764888
block3,gradcam++,none,320,0.018867924528301886,1,53,0.0031683793265491673,0.011200362864324229,0.0036110476092704124,0.09381307131612657,0.004250382477382444
block3,gradcam++,aug,224,0.05660377358490566,3,53,0.019579623539826393,0.04730293098883148,0.024533885857729164,0.16820655197105858,0.008699956929908608
block3,gradcam++,aug,320,0.0,0,53,0.0014782169516146138,0.006564711773746033,0.0015841856122673526,0.0996361678309457,0.0038376034430737766
block3,gradcam++,eigen,224,0.11320754716981132,6,53,0.05118428034215762,0.0589658843837953,0.107350882531886,0.06791285597377857,0.04020816874953936
block3,gradcam++,eigen,320,0.05660377358490566,3,53,0.03537824832430979,0.03916239704133303,0.07981503675999162,0.05588121140357745,0.044381141662597656
block3,gradcam++,both,224,0.11320754716981132,6,53,0.040998850556264954,0.037502673733000924,0.111071364945116,0.051902871382606776,0.06771089445869878
block3,gradcam++,both,320,0.018867924528301886,1,53,0.02361268352329992,0.029041838482962677,0.06107252957319811,0.048893158956736224,0.04437574350608969
