image,condition,parse_ok,error,seconds,n_present,n_flagged,n_truth,n_unsupported_vs_clf,n_omit_vs_clf,n_unsupported_but_true,n_unsupported_and_false,unsupported_rate_vs_clf,omit_rate_vs_clf,n_false_vs_truth,precision_vs_truth,recall_vs_truth,normal_film_kept_clean,loc_agree,n_loc_checked
00001373_010.png,C,True,False,10.1,2,1,3,1,0,1,0,0.5,0.0,0,1.0,0.6667,,1.0,1
00028572_001.png,A,True,False,28.9,0,1,0,0,1,0,0,0.0,1.0,0,,,True,,0
00028572_001.png,B,True,False,14.7,6,1,0,5,0,0,5,0.8333,0.0,6,0.0,,False,,0
00028572_001.png,C,True,False,14.7,5,1,0,4,0,0,4,0.8,0.0,5,0.0,,False,1.0,1
00012021_026.png,A,True,False,33.7,5,2,1,4,1,0,4,0.8,0.5,5,0.0,0.0,,,0
00012021_026.png,B,True,False,13.4,6,2,1,4,0,0,4,0.6667,0.0,5,0.1667,1.0,,,0
00012021_026.png,C,True,False,9.2,3,2,1,1,0,0,1,0.3333,0.0,2,0.3333,1.0,,1.0,2
00016508_030.png,A,True,False,29.6,1,0,0,1,0,0,1,1.0,,1,0.0,,False,,0
00016508_030.png,B,True,False,10.7,6,0,0,6,0,0,6,1.0,,6,0.0,,False,,0
00016508_030.png,C,True,False,11.0,7,0,0,7,0,0,7,1.0,,7,0.0,,False,,0
00013685_046.png,A,True,False,32.4,4,4,0,2,2,0,2,0.5,0.5,4,0.0,,False,,0
00013685_046.png,B,True,False,13.9,7,4,0,3,0,0,3,0.4286,0.0,7,0.0,,False,,0
00013685_046.png,C,True,False,11.6,5,4,0,1,0,0,1,0.2,0.0,5,0.0,,False,1.0,4
00021840_022.png,A,True,False,32.0,2,2,1,1,1,0,1,0.5,0.5,1,0.5,1.0,,,0
00021840_022.png,B,True,False,11.5,4,2,1,2,0,0,2,0.5,0.0,3,0.25,1.0,,,0
00021840_022.png,C,True,False,8.9,2,2,1,0,0,0,0,0.0,0.0,1,0.5,1.0,,1.0,2
00005712_020.png,A,True,False,30.5,2,3,0,0,1,0,0,0.0,0.3333,2,0.0,,False,,0
00005712_020.png,B,True,False,10.1,5,3,0,2,0,0,2,0.4,0.0,5,0.0,,False,,0
00005712_020.png,C,True,False,9.8,3,3,0,0,0,0,0,0.0,0.0,3,0.0,,False,1.0,3
